Currency,Price,Year,Brand_Model,Info,Type
US,"8,550",2022,ROYAL ENFIELD CONTINENTAL GT 650,2022 - Gasolina - Nuevo - N/D Km,motores
US,"15,500",2022,CF Moto MT,2022 - Gasolina - Nuevo - N/D Mi,motores
US,"6,750",2022,ROYAL ENFIELD HIMALAYAN,2022 - Gasolina - Nuevo - N/D Mi,motores
US,"7,900",2022,CF Moto MT 650,"2022 - Gasolina - Usado - 2,900 Km",motores
US,"2,545",2022,Super King Kong L40,2022 - Eléctrico - Nuevo - N/D Km,motores
US,"2,230",2022,Super King Kong L35,2022 - Eléctrico - Nuevo - N/D Mi,motores
US,"15,900",2021,YAMAHA Grizzly,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"22,500",2021,Honda Pioneer 700cc,2021 - Gasolina - Nuevo - N/D Mi,motores
US,"51,900",2021,Can-Am Maverick X3 XMR Turbo RR,2021 - Gasolina - Usado - 68 Hr,motores
US,"7,000",2021,Kymco MXU 300R,2021 - Gasolina - Usado - N/D Mi,motores
US,"1,670",2021,Bajaj Platina 100,2021 - Gasolina - Nuevo - N/D Km,motores
US,"7,000",2021,Kymco MXU 300R,2021 - Gasolina - Usado - N/D Mi,motores
US,"2,250",2021,Celeste Iron X1,2021 - Eléctrico - Nuevo - N/D Km,motores
US,"2,250",2021,Celeste Iron X1,2021 - Eléctrico - Nuevo - N/D Km,motores
US,"32,500",2021,Honda Talon 1000R,2021 - Gasolina - Nuevo - N/D Km,motores
US,"15,990",2021,YAMAHA Raptor 700 R,2021 - Gasolina - Nuevo - N/D Km,motores
US,625,2021,Ninebot E22 G30LP,2021 - Eléctrico - Nuevo - N/D Km,motores
US,"23,900",2021,MV AGUSTA Turismo Veloce,"2021 - Gasolina - Usado - 8,000 Km",motores
US,"17,000",2021,Husqvarna 701 Supermoto,2021 - Gasolina - Nuevo - N/D Km,motores
US,"9,700",2021,CF Moto 700CL-X,2021 - Gasolina - Nuevo - N/D Km,motores
US,"28,900",2021,MV AGUSTA Dragster,2021 - Gasolina - Nuevo - N/D Km,motores
US,"26,900",2021,MV AGUSTA Brutale,"2021 - Gasolina - Usado - 1,000 Km",motores
US,"9,500",2021,CF Moto MT 650,2021 - Gasolina - Nuevo - N/D Km,motores
US,"4,250",2021,ROYAL ENFIELD 350 CLASSIC,2021 - Gasolina - Nuevo - N/D Km,motores
US,"2,390",2021,NIU SCOOTER,2021 - Eléctrico - Nuevo - N/D Mi,motores
