Currency,Price,Year,Brand_Model,Fuel,Condition,Type
US,"21,990",2022,YEMA  MENGO, Eléctrico , Nuevo ,carros/sedan
US,"23,995",2022,Hyundai Accent, Gasolina , Nuevo ,carros/sedan
US,"22,500",2022,YEMA  MENGO, Eléctrico , Nuevo ,carros/sedan
US,"80,000",2022,BYD HAN, Eléctrico , Nuevo ,carros/sedan
US,"95,000",2022,Audi A6 S-Line, Gasolina , Nuevo ,carros/sedan
US,"110,500",2022,Audi A7 Sportback, Gasolina , Nuevo ,carros/sedan
US,"17,990",2022,Kia Soluto, Gasolina , Nuevo ,carros/sedan
US,"24,900",2022,Toyota Yaris, Gasolina , Nuevo ,carros/sedan
US,"17,500",2022,Kia Soluto LX, Gasolina , Nuevo ,carros/sedan
US,"18,995",2022,Hyundai Verna, Gasolina , Nuevo ,carros/sedan
US,"23,995",2022,Hyundai Accent, Gasolina , Nuevo ,carros/sedan
US,"23,995",2022,Hyundai Accent, Gasolina , Nuevo ,carros/sedan
US,"23,995",2022,Hyundai Accent, Gasolina , Nuevo ,carros/sedan
US,"23,995",2022,Hyundai Accent, Gasolina , Nuevo ,carros/sedan
US,"160,000",2022,Tesla Model S, Eléctrico , Nuevo ,carros/sedan
US,"40,900",2022,Audi A3, Gasolina , Nuevo ,carros/sedan
US,"83,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Nuevo ,carros/sedan
US,"83,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Nuevo ,carros/sedan
US,"46,900",2022,Audi A3 S-Line, Gasolina , Nuevo ,carros/sedan
US,"83,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Nuevo ,carros/sedan
US,"85,900",2022,BYD HAN, Eléctrico , Nuevo ,carros/sedan
US,"24,500",2022,Nissan Versa Exclusive, Gasolina , Nuevo ,carros/sedan
US,"24,900",2022,Suzuki Swift Sport, Gasolina , Nuevo ,carros/sedan
US,"16,900",2022,Suzuki Dzire, Gasolina , Nuevo ,carros/sedan
US,"24,900",2022,Suzuki Swift Sport, Gasolina , Nuevo ,carros/sedan
US,"99,900",2022,Tesla Model Y Long Range, Eléctrico , Nuevo ,carros/sedan
US,"40,900",2022,Audi A3 Progressive, Gasolina , Nuevo ,carros/sedan
US,"17,995",2022,Hyundai Verna, Gasolina , Nuevo ,carros/sedan
US,"124,900",2022,Mercedes-Benz Clase A 45 S AMG, Gasolina , Nuevo ,carros/sedan
US,"97,500",2022,Tesla Model Y Long Range, Eléctrico , Nuevo ,carros/sedan
US,"24,500",2022,Fiat Cronos, Gasolina , Nuevo ,carros/sedan
US,"43,900",2022,Audi A3, Gasolina , Nuevo ,carros/sedan
US,"23,995",2022,Hyundai Accent, Gasolina , Nuevo ,carros/sedan
US,"23,995",2022,Hyundai Accent, Gasolina , Nuevo ,carros/sedan
US,"71,500",2022,Tesla Model 3, Eléctrico , Nuevo ,carros/sedan
US,"71,500",2022,Tesla Model 3 Standard Range Plus, Eléctrico , Nuevo ,carros/sedan
US,"71,500",2022,Tesla Model 3 Standard Range Plus, Eléctrico , Nuevo ,carros/sedan
US,"85,900",2022,BYD HAN, Eléctrico , Nuevo ,carros/sedan
US,"22,900",2022,Nissan Versa Advance, Gasolina , Nuevo ,carros/sedan
US,"21,900",2022,Nissan Versa Sense Especial, Gasolina , Nuevo ,carros/sedan
US,"85,900",2022,BYD HAN, Eléctrico , Nuevo ,carros/sedan
US,"85,900",2022,BYD HAN, Eléctrico , Nuevo ,carros/sedan
US,"83,000",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Nuevo ,carros/sedan
US,"24,900",2022,Toyota Yaris, Gasolina , Nuevo ,carros/sedan
US,"24,900",2022,Toyota Yaris, Gasolina , Nuevo ,carros/sedan
US,"20,990",2022,Kia Rio, Gasolina , Nuevo ,carros/sedan
US,"20,990",2022,Kia Rio, Gasolina , Nuevo ,carros/sedan
US,"23,900",2022,Suzuki Swift Sport, Gasolina , Usado ,carros/sedan
US,"16,900",2022,Suzuki Dzire, Gasolina , Nuevo ,carros/sedan
US,"148,000",2022,Mercedes-Benz Clase E 53 AMG, Gasolina , Nuevo ,carros/sedan
US,"20,900",2022,Nissan Versa Sense Especial, Gasolina , Nuevo ,carros/sedan
US,"20,500",2022,Nissan Versa Sense, Gasolina , Nuevo ,carros/sedan
US,"24,500",2022,Fiat Cronos, Gasolina , Nuevo ,carros/sedan
US,"24,500",2022,Fiat Cronos, Gasolina , Nuevo ,carros/sedan
US,"24,500",2022,Fiat Cronos, Gasolina , Nuevo ,carros/sedan
US,"16,900",2022,Suzuki Dzire, Gasolina , Nuevo ,carros/sedan
US,"24,500",2022,Fiat Cronos, Gasolina , Nuevo ,carros/sedan
US,"33,900",2022,BYD E2, Eléctrico , Nuevo ,carros/sedan
US,"90,900",2022,Tesla Model Y Long Range, Eléctrico , Nuevo ,carros/sedan
US,"17,500",2022,Kia Soluto, Gasolina , Nuevo ,carros/sedan
US,"30,900",2022,Toyota Corolla, Gasolina , Nuevo ,carros/sedan
US,"24,900",2022,Suzuki Swift Sport, Gasolina , Nuevo ,carros/sedan
US,"33,900",2022,BYD E2, Eléctrico , Nuevo ,carros/sedan
US,"24,900",2022,Suzuki Swift Sport, Gasolina , Nuevo ,carros/sedan
US,"20,900",2022,Nissan Versa, Gasolina , Nuevo ,carros/sedan
US,"70,900",2022,Tesla Model 3, Eléctrico , Nuevo ,carros/sedan
US,"39,900",2022,Audi A3, Gasolina , Nuevo ,carros/sedan
US,"89,990",2021,Tesla Model Y Long Range, Eléctrico , Nuevo ,carros/sedan
US,"220,000",2021,Mercedes-Benz Clase S 500, Gasolina , Usado ,carros/sedan
US,"245,000",2021,Mercedes-Benz Clase S 500 AMG, Gasolina , Usado ,carros/sedan
