Currency,Price,Year,Brand_Model,Fuel,Condition,Type,Fecha
US,"21,990",2023,Kia Rio LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"46,999",2023,BYD Dolphin, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"21,500",2023,Nissan Versa Sense Especial, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,500",2023,Suzuki Swift Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"46,900",2023,BYD Dolphin, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"46,900",2023,BYD Dolphin, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"46,900",2023,BYD Dolphin, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"46,900",2023,BYD Dolphin, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"46,900",2023,BYD Dolphin, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"21,500",2023,Nissan Versa Sense Especial, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"20,900",2023,Nissan Versa, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"17,900",2023,Suzuki Dzire, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"22,900",2023,Nissan Versa Advance, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,500",2023,Suzuki Swift Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,500",2023,Suzuki Swift Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,500",2023,Suzuki Swift Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,500",2023,Suzuki Swift Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2023,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"17,900",2023,Suzuki Dzire, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"18,490",2023,Kia Soluto, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,500",2023,Nissan Versa, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2022,Toyota Yaris LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"85,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"220,000",2022,Audi RS E-TRON GT, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"110,500",2022,Audi A7 Sportback, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"43,900",2022,Audi A3, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"95,000",2022,Audi A6 S-Line, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"17,990",2022,Kia Soluto, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,995",2022,Hyundai Accent, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,995",2022,Hyundai Accent, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,995",2022,Hyundai Accent, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"76,900",2022,BMW Serie 4 420i, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"89,900",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"19,900",2022,Nissan Versa Sense, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"83,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"83,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"57,900",2022,Audi A5 Sportsback, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"46,900",2022,Audi A3 S-Line, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"40,900",2022,Audi A3, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"96,500",2022,Audi A6 Turbo S-Line, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"68,900",2022,Audi S3, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"209,100",2022,BMW M 5, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"106,400",2022,BMW Serie 3 340i M, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"100,500",2022,BMW Serie 3 340i M, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"20,000",2022,Nissan Versa Advance, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"169,900",2022,Mercedes-Benz Clase CLS 53 AMG 4MATIC Híbrido, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"219,900",2022,Mercedes-Benz Clase S 500L, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"84,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"125,000",2022,Mercedes-Benz Clase A 45 S AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"24,900",2022,Toyota Yaris, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"27,900",2022,Fiat 500 Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"43,900",2022,Audi A3, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"27,900",2022,Fiat 500 Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"99,500",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"102,900",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"73,500",2022,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"73,500",2022,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"73,500",2022,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"20,800",2022,Nissan Versa Advance, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"16,400",2022,Hyundai Grand I 10 Sedan, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2022,Toyota Yaris, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,995",2022,Hyundai Accent, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,900",2022,Suzuki Swift Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2022,Suzuki Swift Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"207,000",2022,Porsche Taycan GTS, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"69,900",2022,Audi S3, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"99,900",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"159,900",2022,Mercedes-Benz Clase CLS 53 AMG 4MATIC Híbrido, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"218,900",2022,Mercedes-Benz Clase S 500L, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"230,000",2022,Mercedes-Benz Clase S 500, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"101,150",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"106,850",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"24,900",2022,Toyota Yaris, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"124,900",2022,Mercedes-Benz Clase A 45 S AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"135,000",2022,Tesla Model S, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"84,900",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"17,995",2022,Hyundai Verna, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"27,900",2022,Fiat 500 Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"99,150",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"103,950",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"103,990",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"28,900",2022,Fiat 500 Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2022,Toyota Yaris, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"46,900",2022,Audi A3 S-Line, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,995",2022,Hyundai Accent, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,500",2022,Nissan Versa Exclusive, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"43,900",2022,Audi A3, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,995",2022,Hyundai Accent, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,995",2022,Hyundai Accent, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"85,900",2022,BYD HAN, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"83,000",2022,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2022,Toyota Yaris, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"20,990",2022,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"218,900",2022,Mercedes-Benz Clase S 500L, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"17,900",2022,Suzuki Dzire, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"20,500",2022,Nissan Versa Sense, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"90,900",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"17,500",2022,Kia Soluto, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"30,900",2022,Toyota Corolla, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"21,990",2022,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"111,900",2022,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"218,600",2022,Mercedes-Benz Clase S 500L, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"218,900",2022,Mercedes-Benz Clase S 500L, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"16,990",2022,Kia Soluto LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"16,990",2022,Kia Soluto LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"29,000",2021,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"62,990",2021,Hozon Neta Upro 500, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"113,000",2021,Audi A7 S-Line, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"54,900",2021,Audi A4 Turbo S-Line, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"39,500",2021,Honda Accord Sport 2.0T, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"89,990",2021,Tesla Model Y Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"70,990",2021,Tesla Model Y, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"63,990",2021,Tesla Model 3 Standard Range Plus, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"21,990",2021,YEMA  MENGO, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
RD,"1,550,000",2021,Honda Civic Ex Turbo, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"198,200",2021,Mercedes-Benz Clase S 500L, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"249,200",2021,Mercedes-Benz Clase S 500 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"78,000",2021,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"78,000",2021,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"78,000",2021,Mercedes-Benz Clase A 35 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"36,000",2021,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"45,500",2021,Kia K-5, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"37,000",2021,Honda Accord, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"65,900",2021,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"76,900",2021,Tesla Model Y, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"245,000",2021,Mercedes-Benz Clase S 500, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,200",2021,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"175,000",2021,Mercedes-Benz Clase E 63s AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"18,990",2021,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"29,300",2021,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"76,900",2021,Tesla Model Y, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"91,900",2021,BMW i3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"265,000",2021,Mercedes-Benz Clase S 580 AMG Matic, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"254,900",2021,Porsche Taycan Turbo S, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"27,300",2021,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"39,900",2021,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"64,500",2021,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"24,800",2021,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"235,900",2021,Mercedes-Benz Clase S 500, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,704,300",2021,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"43,000",2021,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,950",2021,Honda City, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"265,000",2021,Mercedes-Benz Clase S 500, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"138,900",2021,Tesla Model S Performance, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"195,900",2021,Mercedes-Benz Clase S 500, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"120,000",2021,Tesla Model S Performance, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"72,400",2021,Tesla Model 3 Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"59,900",2021,Tesla Model 3 Standard Range Plus, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"24,800",2020,Honda Civic Ex Turbo, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,300,000",2020,Honda Civic Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"40,000",2020,Acura ILX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"31,300",2020,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"38,000",2020,Honda Accord, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"20,800",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"33,100",2020,Honda Accord EX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,000",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,200,000",2020,Honda Civic LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"29,400",2020,Toyota Camry SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"64,500",2020,Mercedes-Benz Clase C 300 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,299,000",2020,Honda Civic Ex Turbo, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"127,500",2020,Mercedes-Benz Clase C 63 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"28,500",2020,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,230,000",2020,Honda Civic EX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2020,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,274,000",2020,Honda Civic Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,500",2020,Honda Civic LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"65,500",2020,Tesla Model 3 Long Range, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
RD,"885,000",2020,Mazda 2, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"850,000",2020,Hyundai Grand I 10 Sedan, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"65,900",2020,Mercedes-Benz Clase C 300 Luxury, Gasolina , Gasolina ,carros/sedan,2022-08-20
