"","brand","model","year","price","currency","type","fuel","condition","info"
"1","Kia","Rio LX",2022,"20,990","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"2","Kia","Rio",2022,"20,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"3","Kia","Soluto LX",2022,"17,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"4","Toyota","Yaris",2022,"24,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"5","YEMA"," MENGO",2022,"22,500","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Mi"
"6","Nissan","Versa Exclusive",2022,"24,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"7","BYD","HAN",2022,"85,900","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Mi"
"8","Hyundai","Verna",2022,"17,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"9","Mercedes-Benz","Clase A 35 AMG",2022,"78,000","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"10","Mercedes-Benz","Clase A 35 AMG",2022,"78,000","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"11","Mercedes-Benz","Clase A 35 AMG",2022,"78,000","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"12","Mercedes-Benz","Clase A 35 AMG",2022,"78,000","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"13","Mercedes-Benz","Clase A 35 AMG",2022,"78,000","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"14","Nissan","Versa Exclusive",2022,"24,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"15","Suzuki","Dzire",2022,"16,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"16","Mercedes-Benz","Clase E 53 AMG",2022,"148,000","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"17","Nissan","Versa Sense Especial",2022,"20,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"18","Kia","Rio LX",2022,"20,990","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"19","Nissan","Versa Sense",2022,"20,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"20","Nissan","Versa Sense Especial",2022,"21,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"21","BYD","HAN",2022,"85,900","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Mi"
"22","Fiat","Cronos",2022,"24,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"23","Fiat","Cronos",2022,"24,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"24","Fiat","Cronos",2022,"24,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"25","Kia","Rio",2022,"20,990","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"26","Toyota","Yaris",2022,"24,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"27","Toyota","Yaris",2022,"24,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"28","BYD","E2",2022,"33,900","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Km"
"29","BYD","E2",2022,"33,900","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Km"
"30","Suzuki","Dzire",2022,"16,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"31","BYD","E2",2022,"33,900","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Mi"
"32","Fiat","Cronos",2022,"24,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"33","BYD","E2",2022,"33,900","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Km"
"34","BYD","E2",2022,"33,900","US","sedan"," Electrico "," Nuevo ","2022 - Eléctrico - Nuevo - N/D Mi"
"35","Fiat","Cronos",2022,"24,500","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
"36","Suzuki","Swift Sport",2022,"24,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Km"
"37","Suzuki","Swift Sport",2022,"24,900","US","sedan"," Gasolina "," Nuevo ","2022 - Gasolina - Nuevo - N/D Mi"
